<<<<<<< HEAD
####                                                                                         ##   #        #         ####                    #########
####                                                                                              ##       #         #######                 #########
####              #                    #                                                          #                  #######   #     #       #########
####                 ##                                                                                                 ####         #       #########
####                                                                                                              ###   ####       #######   #########
###                                                                                                     ####              ####   #####################
###                                                                                                     ####              ####   #####################
###                               ##                                                                    ####              ####   #####################
#####                                                                        E                         ###                ####   #####################
#####                 ##                                                                                                  ####    ####################
###                  ###                                                                                                 ######   ####################
###                                                                                                         #              ####   ####################
###                                                                                                         #   ###        ####   ####################
###                                                                                                            ####        ####    ###################
###                                                                                                            #####       ##      ###################
###                                                                                                            ###         ##       ##################
######                                                                  #                                #       #                      ##############
######                             E                                                                             #                      ##############
####                                                                                                             ##                     ##############
####                                                                                                             ##                     ##############
####                                          #                                                                  ###                      ############
####                                                                                                             ###                      ############
####                       #       ##                                                                            ###                      ############
####                              ####                                                                             #                      ############
####                              ####                                                                                                      ##########
####                            ######                                                                                                      ##########
###                                 ##         ######                                                                                       ##########
###                                           ####                                                                                    #     ##########
###                                           ####   #                                                                                      #     ####
###                                        #######   #                                                  E                                         ####
###                                        #######   #                                                                                             ###
###                                         ####                                                                                                   ###
###                                         ####                                                                                             #     ###
######                                      ##                                                                                                   #####
######                             ##   ######               #                                                                                   #####
#####                           ##############                                                                                                     ###
#####                           ##############                                                                                                     ###
###                             ##############                                                                                                     ###
###                             ##############                                                                                                    ####
###                           ##   ###########                               E                                                                    ####
###                                #####   ###                                                                                                     ###
###                                  #     ##      #                                                                                               ###
###                                               ##                                                                                               ###
###                                               ###                                                                                             ####
###                                #   ##       ####                                                                                              ####
###                                             ####                                                                                              ####
###                                                                                                                                                ###
####                                                                                                                                               ###
###                                                                                                                                                ###
###                                                                                                                     E                          ###
###                                                                                                                                                ###
###                                                                                                                                                ###
###         E                         #                                                                                                            ###
###    E     P         E                                                                                                                           ###
###           E                                                                                                                                    ###
###                                                                          #                                                                     ###
#####   #      ########         #     #              ##            #   #     #   ######      ###     ##         ###         ######     #       #   ###
######################################################################################################################################################
######################################################################################################################################################
######################################################################################################################################################
=======
################################################################
#######      #         #########################################
#                                  #############################
#       E                          #############################
#                                  #############################
##                          #   ################################
##                          #       ############################
##                         ##       ############################
#         0000000000       ##       ############################
#         1        1               #############################
#         1        1               #############################
#         1                       ##############################
#         1                       ##############################
#         1 P      1   ##       ################################
#         1        1   ##       ################################
#         0000000000   ##       ################################
#                                ###############################
#                                ###############################
#                                ###############################
#     E       00000             ################################
#             12221             ################################
#             12221               ##############################
#             12221                     ########################
#             00000                     ########################
#                                       ########################
#                                      #########################
#                                        #######################
##                                       #######################
##         #                             #######################
##                         E            ########################
##     ##                               ########################
########                     ##         ########################
########     #                          ########################
########                                ########################
##########                           ###########################
###########                       ################   ###########
##########                        ################     #########
##########                        ################  E    #######
##########   ##                  #############   #       #######
##########                   #   ###########         #    ######
##########         #          ############                ######
###########        #  E  ##   ############                 #####
########      #     ##        ###########                  #####
########            ##     ##############                  #####
#######                    #######              #          #####
##                           ###           #               #####
##                    ##                         ##      #######
##               #                                         #####
##                                                         #####
##                                                   #     #####
##                                                   ###########
#                                        ##          ###########
#                                        ####   ################
#       ###                              ####    ###############
#      ####               #            #######   ###############
#       #########                       ######   ###############
###     #########     #                 ########################
###  E  ###########                      #######################
###     ##############                     #####################
###     ##############     ##              #####################
############################      E        #####################
############################              ######################
################################################################
################################################################

>>>>>>> 8b87b22 (six months of work)
